Broker,Rater,Industry
Church & Annex,"Church, Mosque or Synagogue",Religious/Churches
Church & Ed Bldg,"Church, Mosque or Synagogue",Religious/Churches
Church & Parsonage,"Church, Mosque or Synagogue",Religious/Churches
Church & School- lease out,Schools,Education
Church & Sunday Sch,"Church, Mosque or Synagogue",Religious/Churches
Church . mo to mo rental,"Church, Mosque or Synagogue",Religious/Churches
CHURCH / FELLOWSHIP HALL - CC 0900 / OC 22,"Church, Mosque or Synagogue",Religious/Churches
Church / Youth,"Church, Mosque or Synagogue",Religious/Churches
Church Bldg,"Church, Mosque or Synagogue",Religious/Churches
Church Building,"Church, Mosque or Synagogue",Religious/Churches
Church C,"Church, Mosque or Synagogue",Religious/Churches
CHURCH LRO,"Church, Mosque or Synagogue",Religious/Churches
Church Meeting Location,"Church, Mosque or Synagogue",Religious/Churches
Church Meeting-Bible Institute,"Church, Mosque or Synagogue",Religious/Churches
Church Museum,Museums,Hotels/Casino/Entertainment
Church Office,Offices,Offices
Church Office - Lease,Offices,Offices
Church Office - Leased,Offices,Offices
Church Office / House,Offices,Offices
Church Office/Pastor Home,Offices,Offices
Church Office/Pastor's Home,Offices,Offices
Church Owned-Land Leased,"Church, Mosque or Synagogue",Religious/Churches
CHURCH PARSONAGE - CC 0900 / OC 22,"Church, Mosque or Synagogue",Religious/Churches
Church Plant Meeting Loc - Lease,"Church, Mosque or Synagogue",Religious/Churches
Church Sanctuary   S-1,"Church, Mosque or Synagogue",Religious/Churches
CHURCH SANCTUARY - CC 0900 / OC 22,"Church, Mosque or Synagogue",Religious/Churches
CHURCH SCHOOL - CC 0900 / OC 22,Schools,Education
Church Services,"Church, Mosque or Synagogue",Religious/Churches
Church Sign off Premises,"Church, Mosque or Synagogue",Religious/Churches
Church Sign on Premises,"Church, Mosque or Synagogue",Religious/Churches
Church Street Manor,"Church, Mosque or Synagogue",Religious/Churches
CHURCH STREET PAVILLION,Governmental Office & Administration,Govermental/Municipal
CHURCH TEMPLE NO SCHOOL NO COOKING - CC 0900 / OC 22,Schools,Education
CHURCH TEMPLE w COOKING- CC 0900 / OC 22,"Church, Mosque or Synagogue",Religious/Churches
CHURCH TEMPLE w SCHOOL NO COOKING- CC 0900 / OC 22,Schools,Education
CHURCH YOUTH BUILDING - CC 0900 / OC 22,"Church, Mosque or Synagogue",Religious/Churches
Church/ Office,Offices,Offices
Church/ Wing,"Church, Mosque or Synagogue",Religious/Churches
Church/2 Unit,"Church, Mosque or Synagogue",Religious/Churches
Church/ABI,"Church, Mosque or Synagogue",Religious/Churches
Church/Annex,"Church, Mosque or Synagogue",Religious/Churches
Church/C.E.,"Church, Mosque or Synagogue",Religious/Churches
Church/CE,"Church, Mosque or Synagogue",Religious/Churches
Church/CE/School,Schools,Education
Church/dwelling,Single Family Dwellings,Habitational
Church/Fellowship,"Church, Mosque or Synagogue",Religious/Churches
Church/Fellowship Hall - Addition,"Church, Mosque or Synagogue",Religious/Churches
Church/Fellowship Hall/CE,"Church, Mosque or Synagogue",Religious/Churches
Church/Fellowship Hall/Youth,"Church, Mosque or Synagogue",Religious/Churches
Church/Gym/CE Bldg.,Fitness and Recreational Sports Centers,Hotels/Casino/Entertainment
Church/Gym/Retreat Center/CE,Fitness and Recreational Sports Centers,Hotels/Casino/Entertainment
CHURCH/HALL,"Church, Mosque or Synagogue",Religious/Churches
Church/Multipurpose,"Church, Mosque or Synagogue",Religious/Churches
Church/Office,Offices,Offices
Church/Office/Leased,Offices,Offices
Church/Office/Parsonage,"Church, Mosque or Synagogue",Religious/Churches
Church/Pars/Dwlg,Single Family Dwellings,Habitational
Church/Parsonage,"Church, Mosque or Synagogue",Religious/Churches
Church/Parsonage partial lease out,"Church, Mosque or Synagogue",Religious/Churches
Church/Portable Storage Unit,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
Church/Ruth Hall,"Church, Mosque or Synagogue",Religious/Churches
Church/School,Schools,Education
Church/SS,"Church, Mosque or Synagogue",Religious/Churches
Church/SS/parking,Parking Garages,Light Industry
Church/Youth,"Church, Mosque or Synagogue",Religious/Churches
Church-CE,"Church, Mosque or Synagogue",Religious/Churches
Churches,"Church, Mosque or Synagogue",Religious/Churches
Churches and Synagogues,"Church, Mosque or Synagogue",Religious/Churches
CHURCHES CHCKN HYDROMATIC-2 5hp,"Church, Mosque or Synagogue",Religious/Churches
Churches or Other Houses of Worship,Single Family Dwellings,Habitational
Churches or Other Houses of Worship - Building,Single Family Dwellings,Habitational
Churches or places of worship,"Church, Mosque or Synagogue",Religious/Churches
Church-Fellowship Hall,"Church, Mosque or Synagogue",Religious/Churches
Church-Lease Out,"Church, Mosque or Synagogue",Religious/Churches
Church-lease out per board,"Church, Mosque or Synagogue",Religious/Churches
Church-leased,"Church, Mosque or Synagogue",Religious/Churches
Church-Leased Out/Pstr. George Lopez-Assm. of God,"Church, Mosque or Synagogue",Religious/Churches
Church-Life Center,"Church, Mosque or Synagogue",Religious/Churches
Church-Pavilion,Governmental Office & Administration,Govermental/Municipal
Church-Tent,"Church, Mosque or Synagogue",Religious/Churches
City Administration Building,Offices,Offices
CITY CEMETERY,Cemetery,Religious/Churches
City Center -Rehab and Wellness,Rehabilitation Facility,Health Services
City Court,Courts,Govermental/Municipal
City Depot,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
City Hall,Governmental Office & Administration,Govermental/Municipal
City Hall - Cafetorium,Restaurants - Not Fast Food,Retail
City Hall - Community Center,Governmental Office & Administration,Govermental/Municipal
City Hall - Court,Courts,Govermental/Municipal
City Hall - Fire Department,Governmental Office & Administration,Govermental/Municipal
CITY HALL - FIRE STATION,Governmental Office & Administration,Govermental/Municipal
City Hall - Former School,Schools,Education
CITY HALL - MUSEUM,Museums,Hotels/Casino/Entertainment
CITY HALL - POLICE,Governmental Office & Administration,Govermental/Municipal
City Hall - Police Station,Governmental Office & Administration,Govermental/Municipal
City Hall - Police Station - Library,Library,Govermental/Municipal
City Hall - Police-EMS Station,Governmental Office & Administration,Govermental/Municipal
CITY HALL - RECREATION CENTER,Fitness and Recreational Sports Centers,Hotels/Casino/Entertainment
CITY HALL AND LIBRARY,Library,Govermental/Municipal
CITY HALL AND POLICE DEPARTMENT,Governmental Office & Administration,Govermental/Municipal
City Hall and Police Station,Governmental Office & Administration,Govermental/Municipal
City Hall Annex,Governmental Office & Administration,Govermental/Municipal
City Hall Annex - Visitor Center,Governmental Office & Administration,Govermental/Municipal
CITY HALL- ELECTRICAL EQUIP,T&D,Utilities
CITY HALL- Old Governmental Bldg.,Governmental Office & Administration,Govermental/Municipal
City Library,Library,Govermental/Municipal
City Lot 1 Storage Building,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
CITY NURSERY,Day Care,Health Services
City Office and Fire Station,Offices,Offices
CITY OWNED MOBILE HOME,Single Family Dwellings,Habitational
City Parish Office Annex,Offices,Offices
City Park,Lodges and Clubs,Hotels/Casino/Entertainment
CITY PARK GAZEBO,Governmental Office & Administration,Govermental/Municipal
CITY PARK PAVILION,Governmental Office & Administration,Govermental/Municipal
CITY PARK STAGE,Governmental Office & Administration,Govermental/Municipal
CITY PIER,Piers and Wharves,Transportation
CITY SHOP,Miscellaneous Retailers,Retail
City Shop - Armory,Miscellaneous Retailers,Retail
City Storage Building,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
CIVIC AND CULTURAL ARTS CENTER,Governmental Office & Administration,Govermental/Municipal
Civic Center,Governmental Office & Administration,Govermental/Municipal
CIVIC CENTER 1,Governmental Office & Administration,Govermental/Municipal
CIVIC CENTER RESTROOM RENOVATION (MULTI CRAFT CONST),Governmental Office & Administration,Govermental/Municipal
CIVIC CLUB,Fitness and Recreational Sports Centers,Hotels/Casino/Entertainment
Civil Air Museum,Museums,Hotels/Casino/Entertainment
Civil Air Patrol Building,Governmental Office & Administration,Govermental/Municipal
CIVIL DEFENSE - STORAGE BUILDING,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
CIVIL WAR MUSEUM (NEXT TO MAIN MUSEUM),Museums,Hotels/Casino/Entertainment
CLAIRMONT PARK- GAZEBO,Governmental Office & Administration,Govermental/Municipal
Class Room Building  E-3,Schools,Education
Class Rooms,Schools,Education
Class/Cafeteria,Schools,Education
Class/Library,Schools,Education
Class/Library/Cafeteria,Schools,Education
"Class-A Office Building
with Parking Garage",Offices,Offices
CLASSLAB,Schools,Education
Class-Modular,Schools,Education
CLASSRELO,Schools,Education
CLASSRMCOL,Schools,Education
classroom,Schools,Education
Classroom 1,Schools,Education
Classroom 1 - Rented Out,Schools,Education
Classroom 2,Schools,Education
Classroom 2 - Rented Out,Schools,Education
Classroom A,Schools,Education
Classroom A Addition,Schools,Education
Classroom Addiiton,Schools,Education
Classroom Addition,Schools,Education
Classroom Addition to Main Bldg,Schools,Education
Classroom and Labs,Schools,Education
Classroom B,Schools,Education
Classroom B Addition,Schools,Education
Classroom Bldg,Schools,Education
Classroom Bldg (orig meat ctr),Schools,Education
Classroom Bldg (previously used by Senior Citizen group),Schools,Education
Classroom Bldg 1,Schools,Education
Classroom Bldg 100,Schools,Education
Classroom Bldg 2,Schools,Education
Classroom Bldg 200,Schools,Education
Classroom Bldg 300,Schools,Education
Classroom Bldg B,Schools,Education
Classroom Building,Schools,Education
Classroom Building 1,Schools,Education
Classroom Building 2,Schools,Education
Classroom E - 1st floor (auto tech),Schools,Education
Classroom F  ,Schools,Education
Classroom Modular (10 Bldgs),Schools,Education
Classroom Modular (6 Bldgs),Schools,Education
Classroom Modular (7 bldgs),Schools,Education
Classroom Training Building,Schools,Education
Classroom Wing,Schools,Education
Classroom Wing (Kindergarten),Schools,Education
Classroom Wing (Ninth St. Bldg.),Schools,Education
"Classroom Wing A, B, C",Schools,Education
Classroom Wing Addition,Schools,Education
Classroom Wing Addition to Main Bldg,Schools,Education
Classroom Wing Bldg,Schools,Education
Classroom Wing D  ,Schools,Education
Classroom Wing E - 2nd floor,Schools,Education
"Classroom, Maintenance Training, Kitchen, Storage",General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
Classroom/ Live Theater Stage,Schools,Education
Classroom/Addition,Schools,Education
Classroom/Labs,Schools,Education
Classroom/Office,Schools,Education
Classroom/Office Bldg,Schools,Education
Classroom/Offices,Schools,Education
Classroom/Work Room,Schools,Education
Classroom-leased out  E-4 - Leased Mod-Owned Land,Schools,Education
Classrooms,Schools,Education
Classrooms - Training 1,Schools,Education
Classrooms - Training 2,Schools,Education
Classrooms - Wing 300,Schools,Education
Classrooms - Wing 350,Schools,Education
Classrooms - Wing 80,Schools,Education
Classrooms (100-103),Schools,Education
Classrooms (104-107),Schools,Education
Classrooms (200-304),Schools,Education
Classrooms (used as Offices),Schools,Education
Classrooms Locker Rooms,Schools,Education
Classrooms Main Bldg,Schools,Education
Classrooms Modular (7 Bldgs),Schools,Education
Classrooms Modular (8 Bldgs),Schools,Education
Classrooms Modular(16 Bldgs),Schools,Education
Classrooms*,Schools,Education
Classrooms/  Library,Schools,Education
Classrooms/ Music Bldg,Schools,Education
Classrooms/Admin,Schools,Education
Classrooms/Admin/Library,Schools,Education
Classrooms/Administration,Schools,Education
Classrooms/Admn/Cafeteria,Schools,Education
Classrooms/Admn/Gym,Schools,Education
Classrooms/Art,Schools,Education
Classrooms/Conference,Schools,Education
Classrooms/Labs,Schools,Education
Classrooms/Library,Schools,Education
Classrooms/Media,Schools,Education
Classrooms/Music,Schools,Education
Classrooms/Office,Schools,Education
Classrooms/Racquetball,Schools,Education
Classrooms/Receiving,Schools,Education
ClassroomWing,Schools,Education
"Cleanout, Maintenance, & Warehouse",General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
Clearwell,Water Supply and Irrigation Systems,Utilities
Clerk of Court Condo  **MOVING TO PUBLIC  SAFETY COMPLEX**,Mid Rise Condos - 5-9 stories,Habitational
CLIMBING STRUCTURE & PLAYGROUND,Fitness and Recreational Sports Centers,Hotels/Casino/Entertainment
Clinc,Home Health Care Service,Health Services
CLINCH COUNTY EDUCATION COMPLEX,Technical and Trade Schools,Education
Clinic,Home Health Care Service,Health Services
Clinic - School Based,Home Health Care Service,Health Services
Clinic / Offices,Medical Office,Health Services
Clinic in WH,Home Health Care Service,Health Services
"Clinic, General Rad, Lab, Office Community Education Presentation",Offices,Offices
"Clinic, lease 1,700 sq feet to CHRISTUS Home Health",Home Health Care Service,Health Services
Clinic/Offices,Medical Office,Health Services
Clinic/Offices/IS and Telecomm Support,Medical Office,Health Services
Clinical Education,Schools,Education
Clinic-Mobile,Home Health Care Service,Health Services
Clinics,Home Health Care Service,Health Services
Clinics/laboratories,Laboratories,Health Services
Clothing or Fur Mfg incl Upholstering,Clothing Manufacturing,Light Industry
Clothing or Wearing Apparel Stores - Other than Not-For-Profit,Clothing Manufacturing,Light Industry
Clothing Retail/Wholesale,Clothing Manufacturing,Light Industry
Clothing Store,Clothing Manufacturing,Light Industry
CLOTHING/WEAR APPAREL DISTRIBUTOR,Clothing Manufacturing,Light Industry
CLOTHING/WEAR APPAREL DISTRIBUTOR WAREHOUSE,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
Cloverfield Farm,Livestock Farming,Agriculture/Farming
Clrms/Café.,Schools,Education
Clrms/Music/Art,Schools,Education
Clsaaroom Addition,Schools,Education
Clssrm Wing Addn & Connecting Corridor,Schools,Education
Club,Fitness and Recreational Sports Centers,Hotels/Casino/Entertainment
"Club - civic, service or social - having buildings or premises owned or leased - Not-For-Profit only - NOC, including fraternal and union halls",Fitness and Recreational Sports Centers,Hotels/Casino/Entertainment
"Club - civic, service or social - having buildings or premises owned or leased - Not-For-Profit only - Such as golf club, tennis clubs and similar sports facilities With cooking",Fitness and Recreational Sports Centers,Hotels/Casino/Entertainment
"Club - civic, service or social - having buildings or premises owned or leased - Not-For-Profit only - Such as golf club, tennis clubs and similar sports facilities Without cooking",Fitness and Recreational Sports Centers,Hotels/Casino/Entertainment
"Club - civic, service or social - having buildings or premises owned or leased - Other than Not-For-Profit - NOC, including fraternal and union halls",Fitness and Recreational Sports Centers,Hotels/Casino/Entertainment
"Club - civic, service or social - having buildings or premises owned or leased - Other than Not-For-Profit - Such as golf club, tennis clubs and similar sports facilities With cooking",Fitness and Recreational Sports Centers,Hotels/Casino/Entertainment
"Club - civic, service or social - having buildings or premises owned or leased - Other than Not-For-Profit - Such as golf club, tennis clubs and similar sports facilities Without cooking",Fitness and Recreational Sports Centers,Hotels/Casino/Entertainment
